scenario,stratum,model,comparison,estimate,lower,upper,n_resamples,level,metric
strict_first_primary,unknown,logistic,clinical need (step 0 to 1),0.006564636654900369,0.003425384161041906,0.009348044575107082,500,0.95,log-loss skill
strict_first_primary,unknown,logistic,social position (step 1 to 2),0.003984506229753548,-0.00039648705093456695,0.007928501247440867,500,0.95,log-loss skill
strict_first_primary,unknown,lightgbm,clinical need (step 0 to 1),0.0053058275828468116,0.0012358231482050347,0.00893772675423256,500,0.95,log-loss skill
strict_first_primary,unknown,lightgbm,social position (step 1 to 2),0.013946065088304427,0.0069684793371679885,0.022598234044146716,500,0.95,log-loss skill
exclude_prostatectomy_nos,all,logistic,clinical need (step 0 to 1),0.030141804300505726,0.0268826649605188,0.03377050707963578,500,0.95,log-loss skill
exclude_prostatectomy_nos,all,logistic,social position (step 1 to 2),0.006161945541127478,0.003920735767164256,0.008673111907332522,500,0.95,log-loss skill
exclude_prostatectomy_nos,all,lightgbm,clinical need (step 0 to 1),0.03186169830736951,0.028589777229708683,0.035495014501399476,500,0.95,log-loss skill
exclude_prostatectomy_nos,all,lightgbm,social position (step 1 to 2),0.0097987692116146,0.007174617726029106,0.01280939995529674,500,0.95,log-loss skill
exclude_prostatectomy_nos,low,logistic,clinical need (step 0 to 1),0.0014586916672355565,0.0008744299768346398,0.002056671427938231,500,0.95,log-loss skill
exclude_prostatectomy_nos,low,logistic,social position (step 1 to 2),0.006089843524189065,0.002982946039651311,0.009372944873091527,500,0.95,log-loss skill
exclude_prostatectomy_nos,low,lightgbm,clinical need (step 0 to 1),0.00022439147401542847,-0.0008483282811737266,0.0013509272170880325,500,0.95,log-loss skill
exclude_prostatectomy_nos,low,lightgbm,social position (step 1 to 2),0.010266656813499142,0.007573004601834125,0.013192397187202477,500,0.95,log-loss skill
exclude_prostatectomy_nos,intermediate,logistic,clinical need (step 0 to 1),0.004882932311504051,0.004098803725156067,0.005589913005748978,500,0.95,log-loss skill
exclude_prostatectomy_nos,intermediate,logistic,social position (step 1 to 2),0.005404194704243803,0.0031811976342790123,0.008031988861430495,500,0.95,log-loss skill
exclude_prostatectomy_nos,intermediate,lightgbm,clinical need (step 0 to 1),0.00527611569343589,0.004092879526035628,0.00636276987379302,500,0.95,log-loss skill
exclude_prostatectomy_nos,intermediate,lightgbm,social position (step 1 to 2),0.009340883053442828,0.006548208773967901,0.012761310536165986,500,0.95,log-loss skill
exclude_prostatectomy_nos,high,logistic,clinical need (step 0 to 1),0.03526725353617799,0.03161350992409974,0.038639722635505185,500,0.95,log-loss skill
exclude_prostatectomy_nos,high,logistic,social position (step 1 to 2),0.00856530693783708,0.005942670043304946,0.011478961846300638,500,0.95,log-loss skill
exclude_prostatectomy_nos,high,lightgbm,clinical need (step 0 to 1),0.03727862862634046,0.03358989106157873,0.04064299904538852,500,0.95,log-loss skill
exclude_prostatectomy_nos,high,lightgbm,social position (step 1 to 2),0.011883672540959234,0.009188568130636881,0.015532938934874493,500,0.95,log-loss skill
exclude_prostatectomy_nos,unknown,logistic,clinical need (step 0 to 1),0.006354643177317709,0.004094277581633865,0.008720720484393478,500,0.95,log-loss skill
